GPSname,GEN,VemcoSN,StartTime,EndTime,GenLat,GenLon
GG9,GoldenGateE,546166,2019-06-05T17:17:00Z,NA,37.82,-122.46
GG8,GoldenGateE,547644,2019-06-05T16:54:00Z,NA,37.82,-122.46
GG5.1,GoldenGateW,547648,2019-06-05T16:26:00Z,NA,37.82,-122.46
GG4,GoldenGateW,547643,2019-06-05T15:59:00Z,NA,37.82,-122.46
GG2.1,GoldenGateW,547176,2019-06-05T15:16:00Z,NA,37.82,-122.46
GG7.5,GoldenGateE,547183,2019-06-04T21:55:00Z,NA,37.82,-122.46
GG3.1,GoldenGateW,547647,2019-06-04T21:00:00Z,NA,37.82,-122.46
GG7,GoldenGateE,547650,2019-06-04T20:15:00Z,NA,37.82,-122.46
GG6,GoldenGateE,547645,2019-06-04T07:42:00Z,NA,37.82,-122.46
GG1,GoldenGateW,547649,2019-06-04T07:05:00Z,NA,37.82,-122.46
GG3.1,GoldenGateW,547184,2019-03-21T19:20:00Z,2019-06-04T20:50:00Z,37.82,-122.46
GG1,GoldenGateW,547649,2019-02-23T02:00:00Z,2019-06-04T18:30:00Z,37.82,-122.46
GG2.1,GoldenGateW,547176,2019-02-23T01:37:00Z,2019-06-05T14:50:00Z,37.82,-122.46
GG4,GoldenGateW,547643,2019-02-23T00:41:00Z,2019-06-05T15:36:00Z,37.82,-122.46
GG5.1,GoldenGateW,547648,2019-02-23T00:13:00Z,2019-06-05T16:06:00Z,37.82,-122.46
GG2.5,GoldenGateW,547642,2019-02-22T23:33:00Z,2019-06-04T21:00:00Z,37.82,-122.46
GG1.5,GoldenGateW,547647,2019-02-22T23:14:00Z,2019-06-04T17:46:00Z,37.82,-122.46
GG6.5,GoldenGateE,547183,2019-02-22T22:15:00Z,2019-06-04T18:15:00Z,37.82,-122.46
GG6,GoldenGateE,547645,2019-02-22T21:54:00Z,2019-06-04T19:10:00Z,37.82,-122.46
GG7.2,GoldenGateE,547646,2019-02-22T21:03:00Z,2019-06-04T20:27:00Z,37.82,-122.46
GG7,GoldenGateE,547650,2019-02-22T20:42:00Z,2019-06-04T19:45:00Z,37.82,-122.46
GG7.5,GoldenGateE,547651,2019-02-22T19:20:00Z,2019-06-04T21:35:00Z,37.82,-122.46
GG8,GoldenGateE,547644,2019-02-22T18:38:00Z,2019-06-05T16:35:00Z,37.82,-122.46
GG9,GoldenGateE,546166,2019-02-22T17:55:00Z,2019-06-05T17:02:00Z,37.82,-122.46
GG2.1,GoldenGateW,547180,2018-12-08T06:32:00Z,2019-02-23T01:18:00Z,37.82,-122.46
